Time stamp,broker,sequence id,type,Symbol,Quantity,Price,Side
10/5/2017 10:00:00,Fidelity,1,2,BARK,100,1.195,Buy
10/5/2017 10:00:01,Charles Schwab,1,2,CARD,200,6.855,Sell
10/5/2017 10:00:02,AXA Advisors,1,K,BRIC,5000,30.7,Sell
10/5/2017 10:00:03,National Planning Corporation,1,K,LGHT,400,140,Buy
10/5/2017 10:00:04,Edward Jones,1,K,HOOF,150,39.1,Buy
10/5/2017 10:00:05,Raymond James Financial,1,K,YLLW,200,11,Buy
10/5/2017 10:00:06,Wells Fargo Advisors,1,K,LGHT,100,140.1,Sell
10/5/2017 10:00:08,LPL Financial,1,K,LGHT,600,140.005,Sell
10/5/2017 10:00:09,Ameriprise Financial,1,K,LOUM,200,29.87,Buy
10/5/2017 10:00:11,TD Ameritrade,1,K,LOUD,200,10.95,Buy
10/5/2017 10:00:40,Fidelity,2,2,LGHT,100,140.05,Buy
10/5/2017 10:00:41,Fidelity,3,K,BARK,100,1.19,Buy
10/5/2017 10:00:41,Wells Fargo Advisors,2,K,LGHT,100,140.01,Sell
10/5/2017 10:00:42,Charles Schwab,2,2,DARK,100,20,Buy
10/5/2017 10:00:42,Charles Schwab,3,K,HOOF,100,39.11,Buy
10/5/2017 10:00:43,Edward Jones,2,2,BARK,400,88.3,Buy
10/5/2017 10:00:43,TD Ameritrade,3,2,GLOO,500,40.01,Sell
10/5/2017 10:00:44,Ameriprise Financial,2,K,LGHT,800,98.765,Sell
10/5/2017 10:00:44,Ameriprise Financial,3,2,LOUD,400,10.96,Sell
10/5/2017 10:00:45,TD Ameritrade,2,K,HOOF,200,76.48,Sell
10/5/2017 10:00:45,Raymond James Financial,3,2,CARD,8000,6.555,Buy
10/5/2017 10:00:46,Raymond James Financial,2,2,YLLW,100000,11.1,Sell
10/5/2017 10:00:46,AXA Advisors,3,2,BRIC,400,30.71,Sell
10/5/2017 10:00:47,AXA Advisors,2,2,CARD,700,6.9,Sell
10/5/2017 10:00:48,LPL Financial,2,K,BRIC,300,30.705,Sell
10/5/2017 10:00:49,National Planning Corporation,2,K,BRIC,200,30.71,Sell
10/5/2017 10:00:49,Edward Jones,3,2,LOUD,400,10.96,Sell
10/5/2017 10:00:50,National Planning Corporation,3,2,YLLW,550,11.205,Sell
10/5/2017 10:00:51,LPL Financial,3,2,KRIL,30,6.03,Buy
10/5/2017 10:01:32,Wells Fargo Advisors,3,2,HOOF,600,39.2,Sell
10/5/2017 10:01:41,Edward Jones,4,2,YLLW,200,11.3,Sell
10/5/2017 10:01:49,Wells Fargo Advisors,4,K,LGHT,100,98.78,Buy
10/5/2017 10:01:50,Fidelity,4,2,LOUM,400,29.875,Sell
10/5/2017 10:01:51,Charles Schwab,4,2,LOUD,200,10.95,Sell
10/5/2017 10:01:52,Ameriprise Financial,4,2,BRIC,460,30.705,Sell
10/5/2017 10:01:52,LPL Financial,4,K,YLLW,1560,10.8,Buy
10/5/2017 10:01:53,AXA Advisors,4,2,BRIC,1400,30.7,Sell
10/5/2017 10:01:54,Raymond James Financial,4,2,BRIC,900,30.69,Buy
10/5/2017 10:01:58,TD Ameritrade,4,2,LGHT,500,98.77,Sell
10/5/2017 10:01:59,National Planning Corporation,4,K,BRGT,200,140.005,Buy
10/5/2017 10:02:00,Fidelity,5,2,HOOF,100,39.12,Sell
10/5/2017 10:02:00,Wells Fargo Advisors,6,K,LGHT,400,140,Buy
10/5/2017 10:02:01,Ameriprise Financial,5,K,KRIL,500,6.075,Buy
