broker,sequence id
Fidelity,1
Charles Schwab,1
AXA Advisors,1
National Planning Corporation,1
Edward Jones,1
Raymond James Financial,1
Wells Fargo Advisors,1
LPL Financial,1
TD Ameritrade,1
Fidelity,2
Fidelity,3
Wells Fargo Advisors,2
Charles Schwab,3
Edward Jones,2
TD Ameritrade,3
Ameriprise Financial,2
Ameriprise Financial,3
TD Ameritrade,2
Raymond James Financial,3
Raymond James Financial,2
AXA Advisors,3
AXA Advisors,2
LPL Financial,2
National Planning Corporation,2
Edward Jones,3
National Planning Corporation,3
LPL Financial,3
Wells Fargo Advisors,3
Edward Jones,4
Wells Fargo Advisors,4
Charles Schwab,4
Ameriprise Financial,4
LPL Financial,4
AXA Advisors,4
Raymond James Financial,4
TD Ameritrade,4
Fidelity,5
Wells Fargo Advisors,6
Ameriprise Financial,5
TD Ameritrade,5
Raymond James Financial,5
AXA Advisors,5
LPL Financial,5
Charles Schwab,5
Edward Jones,5
Wells Fargo Advisors,5
Raymond James Financial,6
Fidelity,6
Edward Jones,6
National Planning Corporation,5
Charles Schwab,6
Ameriprise Financial,6
AXA Advisors,6
LPL Financial,6
National Planning Corporation,6
AXA Advisors,7
LPL Financial,7
Fidelity,7
Charles Schwab,7
Edward Jones,7
TD Ameritrade,7
Raymond James Financial,7
Wells Fargo Advisors,8
National Planning Corporation,7
Wells Fargo Advisors,7
AXA Advisors,8
LPL Financial,8
Fidelity,8
Edward Jones,8
Charles Schwab,8
Ameriprise Financial,8
TD Ameritrade,8
Raymond James Financial,8
National Planning Corporation,8
Wells Fargo Advisors,10
Wells Fargo Advisors,11
Fidelity,9
Charles Schwab,9
Edward Jones,9
TD Ameritrade,9
Raymond James Financial,9
AXA Advisors,9
LPL Financial,9
National Planning Corporation,9
Wells Fargo Advisors,12
Charles Schwab,10
Edward Jones,10
Ameriprise Financial,10
TD Ameritrade,10
Raymond James Financial,10
AXA Advisors,10
LPL Financial,10
National Planning Corporation,10
Wells Fargo Advisors,13
Fidelity,10
Fidelity,11
Charles Schwab,11
Ameriprise Financial,11
TD Ameritrade,11
Raymond James Financial,11
AXA Advisors,11
LPL Financial,11
National Planning Corporation,11
Wells Fargo Advisors,14
Charles Schwab,12
Ameriprise Financial,12
TD Ameritrade,12
Raymond James Financial,12
AXA Advisors,12
LPL Financial,12
National Planning Corporation,12
Wells Fargo Advisors,15
Fidelity,12
Fidelity,13
Charles Schwab,13
Edward Jones,13
Ameriprise Financial,13
TD Ameritrade,13
Raymond James Financial,13
AXA Advisors,13
LPL Financial,13
Wells Fargo Advisors,16
Wells Fargo Advisors,17
Wells Fargo Advisors,18
Wells Fargo Advisors,19
Fidelity,14
Charles Schwab,14
Edward Jones,14
Ameriprise Financial,14
TD Ameritrade,14
Raymond James Financial,14
AXA Advisors,14
LPL Financial,14
National Planning Corporation,14
Wells Fargo Advisors,20
Wells Fargo Advisors,21
Wells Fargo Advisors,22
Charles Schwab,15
Edward Jones,15
TD Ameritrade,15
Raymond James Financial,15
AXA Advisors,15
LPL Financial,15
Wells Fargo Advisors,23
Wells Fargo Advisors,24
Fidelity,15
Charles Schwab,16
Edward Jones,16
Ameriprise Financial,16
TD Ameritrade,16
Raymond James Financial,16
LPL Financial,16
National Planning Corporation,16
Wells Fargo Advisors,25
Fidelity,16
Fidelity,17
Fidelity,18
Charles Schwab,17
Edward Jones,17
Ameriprise Financial,17
TD Ameritrade,17
Raymond James Financial,17
AXA Advisors,17
LPL Financial,17
National Planning Corporation,17
Wells Fargo Advisors,26
Charles Schwab,18
Ameriprise Financial,18
TD Ameritrade,18
Raymond James Financial,18
AXA Advisors,18
LPL Financial,18
National Planning Corporation,18
Wells Fargo Advisors,27
Wells Fargo Advisors,29
Fidelity,19
Charles Schwab,19
Edward Jones,19
Ameriprise Financial,19
TD Ameritrade,19
Raymond James Financial,19
AXA Advisors,19
LPL Financial,19
National Planning Corporation,19
Wells Fargo Advisors,30
Fidelity,20
Charles Schwab,20
Edward Jones,20
Ameriprise Financial,20
Raymond James Financial,20
AXA Advisors,20
LPL Financial,20
National Planning Corporation,20
Wells Fargo Advisors,31
Wells Fargo Advisors,32
Wells Fargo Advisors,33
Fidelity,21
Edward Jones,21
Ameriprise Financial,21
TD Ameritrade,21
Raymond James Financial,21
AXA Advisors,21
LPL Financial,21
National Planning Corporation,21
Wells Fargo Advisors,34
Wells Fargo Advisors,35
Wells Fargo Advisors,36
Fidelity,22
Charles Schwab,22
Edward Jones,22
Ameriprise Financial,22
TD Ameritrade,22
Raymond James Financial,22
LPL Financial,22
National Planning Corporation,22
Wells Fargo Advisors,37
Fidelity,23
Charles Schwab,23
Edward Jones,23
Ameriprise Financial,23
TD Ameritrade,23
Raymond James Financial,23
AXA Advisors,23
LPL Financial,23
National Planning Corporation,23
Wells Fargo Advisors,38
Charles Schwab,24
Edward Jones,24
Ameriprise Financial,24
TD Ameritrade,24
Raymond James Financial,24
AXA Advisors,24
LPL Financial,24
National Planning Corporation,24
Fidelity,24
Charles Schwab,25
Edward Jones,25
Ameriprise Financial,25
TD Ameritrade,25
Raymond James Financial,25
AXA Advisors,25
LPL Financial,25
Wells Fargo Advisors,40
Wells Fargo Advisors,41
Fidelity,25
Charles Schwab,26
Edward Jones,26
Ameriprise Financial,26
TD Ameritrade,26
Raymond James Financial,26
AXA Advisors,26
LPL Financial,26
National Planning Corporation,26
Wells Fargo Advisors,42
Fidelity,26
Charles Schwab,27
Edward Jones,27
Ameriprise Financial,27
Raymond James Financial,27
AXA Advisors,27
LPL Financial,27
National Planning Corporation,27
Wells Fargo Advisors,43
Fidelity,27
Charles Schwab,28
Edward Jones,28
Ameriprise Financial,28
TD Ameritrade,28
Raymond James Financial,28
AXA Advisors,28
LPL Financial,28
National Planning Corporation,28
Wells Fargo Advisors,44
Wells Fargo Advisors,45
Wells Fargo Advisors,46
Wells Fargo Advisors,47
Wells Fargo Advisors,48
Wells Fargo Advisors,49
Transamerica Financial,1
Wells Fargo Advisors,50
Wells Fargo Advisors,51
Wells Fargo Advisors,53
Wells Fargo Advisors,54
Wells Fargo Advisors,55
Wells Fargo Advisors,56
Wells Fargo Advisors,57
Wells Fargo Advisors,58
Wells Fargo Advisors,59
Wells Fargo Advisors,60
Wells Fargo Advisors,62
Wells Fargo Advisors,63
Fidelity,28
